dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,capture_id,prompt_label,prompt_hash,model_id,query_source,eval_device
captured,0,0,key_only_block_so8_static,2.5,2.5,0.99609375,15.5,378.0,0.9687746167182922,1.0,1.0,0.7625000476837158,1.0,0.01483154296875,0.0012664794921875,432768.0,0.57421875,0.014631899990490638,0.00557380000827834,17.67822265625,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,2.5,2.5,0.99609375,13.875,320.0,0.975872814655304,1.0,1.0,0.824999988079071,0.99609375,0.01202392578125,0.00121307373046875,432768.0,0.57421875,0.019290900003397837,0.007712000005994923,17.68115234375,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,2.5,2.5,0.99609375,13.875,320.0,0.975872814655304,1.0,1.0,0.824999988079071,0.953125,0.1806640625,0.062255859375,159184.0,0.21121348505434784,0.023821299997507595,0.005097999994177371,17.77783203125,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,2.5,2.5,0.99609375,13.875,320.0,0.975872814655304,1.0,1.0,0.824999988079071,0.9609375,0.1669921875,0.04931640625,165072.0,0.21902598505434784,0.03726450000249315,0.004328200011514127,21.21044921875,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,2.5,2.5,1.0,12.0625,238.0,0.9746705293655396,1.0,1.0,0.7875000238418579,0.95703125,0.1826171875,0.0576171875,110400.0,0.146484375,0.021707199994125403,0.003835900002741255,17.74951171875,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,3.5,3.5,1.0,7.34375,96.0,0.9877963662147522,1.0,1.0,0.824999988079071,0.99609375,0.0035858154296875,5.054473876953125e-05,456320.0,0.60546875,0.01523770000494551,0.004708300009951927,17.67822265625,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,3.5,3.5,1.0,9.25,139.0,0.9855895042419434,1.0,1.0,0.824999988079071,0.99609375,0.00811767578125,0.0003452301025390625,456320.0,0.60546875,0.017256999999517575,0.005233999996562488,17.67822265625,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,3.5,3.5,1.0,9.0625,121.5,0.9873352646827698,1.0,1.0,0.8374999761581421,1.0,0.004638671875,9.965896606445312e-05,456320.0,0.60546875,0.010498900010134093,0.0035465999972075224,17.68115234375,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,3.5,3.5,1.0,9.0625,121.5,0.9873352646827698,1.0,1.0,0.8374999761581421,0.98828125,0.09765625,0.0191650390625,203896.0,0.27053965692934784,0.027698299993062392,0.0075997999956598505,17.77783203125,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,3.5,3.5,1.0,9.0625,121.5,0.9873352646827698,1.0,1.0,0.8374999761581421,0.984375,0.09033203125,0.01513671875,209784.0,0.27835215692934784,0.04699360000086017,0.00602049998997245,21.21044921875,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
