layer,bits,bit_setting,view,mode,rotation_path,rotation_seed,qjl_seed
6,2.5,2.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_2.5_vector.pt,82285,82339
6,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_2.5_spinor_plus_proxy.pt,82542,82596
6,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_2.5_spinor_minus_proxy.pt,82799,82853
6,3.0,3,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_3_vector.pt,82335,82389
6,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_3_spinor_plus_proxy.pt,82592,82646
6,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_3_spinor_minus_proxy.pt,82849,82903
6,3.5,3.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_3.5_vector.pt,82385,82439
6,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_3.5_spinor_plus_proxy.pt,82642,82696
6,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_3.5_spinor_minus_proxy.pt,82899,82953
6,4.0,4,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_4_vector.pt,82435,82489
6,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_4_spinor_plus_proxy.pt,82692,82746
6,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_4_spinor_minus_proxy.pt,82949,83003
6,8.0,8,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_8_vector.pt,82835,82889
6,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_8_spinor_plus_proxy.pt,83092,83146
6,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_8_spinor_minus_proxy.pt,83349,83403
7,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_2_vector.pt,84238,84292
7,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_2_spinor_plus_proxy.pt,84495,84549
7,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_2_spinor_minus_proxy.pt,84752,84806
7,2.5,2.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_2.5_vector.pt,84288,84342
7,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_2.5_spinor_plus_proxy.pt,84545,84599
7,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_2.5_spinor_minus_proxy.pt,84802,84856
7,3.0,3,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_3_vector.pt,84338,84392
7,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_3_spinor_plus_proxy.pt,84595,84649
7,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_3_spinor_minus_proxy.pt,84852,84906
7,3.5,3.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_3.5_vector.pt,84388,84442
7,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_3.5_spinor_plus_proxy.pt,84645,84699
7,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_3.5_spinor_minus_proxy.pt,84902,84956
7,4.0,4,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_4_vector.pt,84438,84492
7,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_4_spinor_plus_proxy.pt,84695,84749
7,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_4_spinor_minus_proxy.pt,84952,85006
7,8.0,8,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_8_vector.pt,84838,84892
7,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_8_spinor_plus_proxy.pt,85095,85149
7,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_07_bits_8_spinor_minus_proxy.pt,85352,85406
